Título,URL_Foto,Precio_de_Venta,Área_construida,Habitaciones,Baños
"Apartamento en Venta, CIUDAD JARDIN, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-2-habitaciones-2-banos-1-garajes/11325-1825090,$230.000.000,67 m²,2,2
"Apartamento en Venta, Alameda Del Rio, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-miramar-2-habitaciones-2-banos/9851-100822,$169.000.000,58 m²,2,2
"Apartamento en Venta, El Golf, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-golf-3-habitaciones-3-banos-2-garajes/2361-94724,$550.000.000,308 m²,3,3
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-4-habitaciones-5-banos-2-garajes/2398-17492,$850.000.000,320 m²,4,5
"Casa en Venta, Villa Campestre, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-conjunto-residencial-villa-campestre-3-habitaciones-5-banos-4-garajes/7515-460056,$1.615.000.000,650 m²,3,5
"Apartamento en Venta y Arriendo, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-3-habitaciones-2-banos-1-garajes/9851-13101,$264.000.000,93 m²,3,2
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-2-habitaciones-2-banos-1-garajes/2171-12097M1,$250.000.000,85 m²,2,2
"Apartamento en Venta, VILLA COUNTRY, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-3-habitaciones-2-banos-2-garajes/2171-12602M1,$440.000.000,141 m²,3,2
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-3-banos-2-garajes/671-77566,$674.442.000,160 m²,3,3
"Casa en Venta, GRANADILLO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-granadillo-4-habitaciones-3-banos-2-garajes/671-77430,$1.250.000.000,481 m²,4,3
"Apartamento en Venta, Cevillar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-cevillar-2-habitaciones-3-banos-1-garajes/671-76537,$240.000.000,90 m²,2,3
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-4-habitaciones-4-banos-2-garajes/671-77441,$566.273.400,142 m²,4,4
"Apartamento en Venta, La Castellana, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ub.-altos-de-parque-3-habitaciones-4-banos-2-garajes/671-77897,$650.000.000,147 m²,3,4
"Apartamento en Venta, PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-el-prado-3-habitaciones-2-banos/671-78783,$200.000.000,83 m²,3,2
"Apartamento en Venta, Altos de Riomar, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-4-habitaciones-4-banos-2-garajes/671-77440,$566.273.400,142 m²,4,4
"Casa en Venta, BELLAVISTA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-san-francisco-3-habitaciones-2-banos-1-garajes/671-77489,$375.000.000,114 m²,3,2
"Casa en Venta, RECREO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-recreo-3-habitaciones-2-banos-1-garajes/671-77892,$550.000.000,174 m²,3,2
"Apartamento en Venta, ALTOS DE RIOMAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-de-riomar-5-habitaciones-5-banos-2-garajes/671-77506,$1.300.000.000,280 m²,5,5
"Lote o Casalote en Venta, Centro, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-lote-o-casalote-barranquilla-rosario/671-71155,$1.500.000.000,0 m²,,
"Apartamento en Venta, ALTO PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-2-banos-1-garajes/671-75270,$295.000.000,107 m²,3,2
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-3-banos-2-garajes/2969-2179,$400.000.000,110 m²,3,3
"Apartamento en Venta y Arriendo, La Campiña, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-la-campina-3-habitaciones-3-banos-1-garajes/130-1902,$387.000.000,104 m²,3,3
"Apartamento en Venta, ALTOS DEL PRADO, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-4-habitaciones-5-banos-2-garajes/10926-2983965,$1.212.000.000,404 m²,4,5
